subsector_ssp,mex_sector,mex_subsector,gas,ID,vars,ids,MEX,
entc,[1] Energía,[1A] Actividades de quema del combustible,CH4,[1A] Actividades de quema del combustible:CH4,emission_co2e_ch4_entc_generation_pp_biogas:emission_co2e_ch4_entc_generation_pp_biomass:emission_co2e_ch4_entc_generation_pp_coal:emission_co2e_ch4_entc_generation_pp_coal_ccs:emission_co2e_ch4_entc_generation_pp_gas:emission_co2e_ch4_entc_generation_pp_gas_ccs:emission_co2e_ch4_entc_generation_pp_geothermal:emission_co2e_ch4_entc_generation_pp_hydropower:emission_co2e_ch4_entc_generation_pp_nuclear:emission_co2e_ch4_entc_generation_pp_ocean:emission_co2e_ch4_entc_generation_pp_oil:emission_co2e_ch4_entc_generation_pp_solar:emission_co2e_ch4_entc_generation_pp_waste_incineration:emission_co2e_ch4_entc_generation_pp_wind:emission_co2e_ch4_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas_liquefaction:emission_co2e_ch4_entc_processing_and_refinement_fp_petroleum_refinement,1:[1A] Actividades de quema del combustible:CH4,0.301967018,1
entc,[1] Energía,[1A] Actividades de quema del combustible,CO2,[1A] Actividades de quema del combustible:CO2,emission_co2e_co2_entc_bmass_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_co2_entc_generation_pp_biogas:emission_co2e_co2_entc_generation_pp_biomass:emission_co2e_co2_entc_generation_pp_coal:emission_co2e_co2_entc_generation_pp_coal_ccs:emission_co2e_co2_entc_generation_pp_gas:emission_co2e_co2_entc_generation_pp_gas_ccs:emission_co2e_co2_entc_generation_pp_geothermal:emission_co2e_co2_entc_generation_pp_hydropower:emission_co2e_co2_entc_generation_pp_nuclear:emission_co2e_co2_entc_generation_pp_ocean:emission_co2e_co2_entc_generation_pp_oil:emission_co2e_co2_entc_generation_pp_solar:emission_co2e_co2_entc_generation_pp_waste_incineration:emission_co2e_co2_entc_generation_pp_wind:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_ammonia_production:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas_liquefaction:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_petroleum_refinement,2:[1A] Actividades de quema del combustible:CO2,104.7165738,2
entc,[1] Energía,[1A] Actividades de quema del combustible,N2O,[1A] Actividades de quema del combustible:N2O,emission_co2e_n2o_entc_generation_pp_biogas:emission_co2e_n2o_entc_generation_pp_biomass:emission_co2e_n2o_entc_generation_pp_coal:emission_co2e_n2o_entc_generation_pp_coal_ccs:emission_co2e_n2o_entc_generation_pp_gas:emission_co2e_n2o_entc_generation_pp_gas_ccs:emission_co2e_n2o_entc_generation_pp_geothermal:emission_co2e_n2o_entc_generation_pp_hydropower:emission_co2e_n2o_entc_generation_pp_nuclear:emission_co2e_n2o_entc_generation_pp_ocean:emission_co2e_n2o_entc_generation_pp_oil:emission_co2e_n2o_entc_generation_pp_solar:emission_co2e_n2o_entc_generation_pp_waste_incineration:emission_co2e_n2o_entc_generation_pp_wind:emission_co2e_n2o_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas_liquefaction:emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement,3:[1A] Actividades de quema del combustible:N2O,0.575147518,3
inen,[1] Energía,[1A] Actividades de quema del combustible,CH4,[1A] Actividades de quema del combustible:CH4,emission_co2e_ch4_inen_agriculture_and_livestock:emission_co2e_ch4_inen_cement:emission_co2e_ch4_inen_chemicals:emission_co2e_ch4_inen_electronics:emission_co2e_ch4_inen_glass:emission_co2e_ch4_inen_lime_and_carbonite:emission_co2e_ch4_inen_metals:emission_co2e_ch4_inen_mining:emission_co2e_ch4_inen_other_product_manufacturing:emission_co2e_ch4_inen_paper:emission_co2e_ch4_inen_plastic:emission_co2e_ch4_inen_recycled_glass:emission_co2e_ch4_inen_recycled_metals:emission_co2e_ch4_inen_recycled_paper:emission_co2e_ch4_inen_recycled_plastic:emission_co2e_ch4_inen_recycled_rubber_and_leather:emission_co2e_ch4_inen_recycled_textiles:emission_co2e_ch4_inen_recycled_wood:emission_co2e_ch4_inen_rubber_and_leather:emission_co2e_ch4_inen_textiles,4:[1A] Actividades de quema del combustible:CH4,0.301967018,4
inen,[1] Energía,[1A] Actividades de quema del combustible,CO2,[1A] Actividades de quema del combustible:CO2,emission_co2e_co2_inen_bmass_agriculture_and_livestock:emission_co2e_co2_inen_bmass_cement:emission_co2e_co2_inen_bmass_chemicals:emission_co2e_co2_inen_bmass_electronics:emission_co2e_co2_inen_bmass_glass:emission_co2e_co2_inen_bmass_lime_and_carbonite:emission_co2e_co2_inen_bmass_metals:emission_co2e_co2_inen_bmass_mining:emission_co2e_co2_inen_bmass_other_product_manufacturing:emission_co2e_co2_inen_bmass_paper:emission_co2e_co2_inen_bmass_plastic:emission_co2e_co2_inen_bmass_recycled_glass:emission_co2e_co2_inen_bmass_recycled_metals:emission_co2e_co2_inen_bmass_recycled_paper:emission_co2e_co2_inen_bmass_recycled_plastic:emission_co2e_co2_inen_bmass_recycled_rubber_and_leather:emission_co2e_co2_inen_bmass_recycled_textiles:emission_co2e_co2_inen_bmass_recycled_wood:emission_co2e_co2_inen_bmass_rubber_and_leather:emission_co2e_co2_inen_bmass_textiles:emission_co2e_co2_inen_bmass_wood:emission_co2e_co2_inen_nbmass_agriculture_and_livestock:emission_co2e_co2_inen_nbmass_cement:emission_co2e_co2_inen_nbmass_chemicals:emission_co2e_co2_inen_nbmass_electronics:emission_co2e_co2_inen_nbmass_glass:emission_co2e_co2_inen_nbmass_lime_and_carbonite:emission_co2e_co2_inen_nbmass_metals:emission_co2e_co2_inen_nbmass_mining:emission_co2e_co2_inen_nbmass_other_product_manufacturing:emission_co2e_co2_inen_nbmass_paper:emission_co2e_co2_inen_nbmass_plastic:emission_co2e_co2_inen_nbmass_recycled_glass:emission_co2e_co2_inen_nbmass_recycled_metals:emission_co2e_co2_inen_nbmass_recycled_paper:emission_co2e_co2_inen_nbmass_recycled_plastic:emission_co2e_co2_inen_nbmass_recycled_rubber_and_leather:emission_co2e_co2_inen_nbmass_recycled_textiles:emission_co2e_co2_inen_nbmass_recycled_wood:emission_co2e_co2_inen_nbmass_rubber_and_leather:emission_co2e_co2_inen_nbmass_textiles:emission_co2e_co2_inen_nbmass_wood,5:[1A] Actividades de quema del combustible:CO2,104.7165738,5
inen,[1] Energía,[1A] Actividades de quema del combustible,N2O,[1A] Actividades de quema del combustible:N2O,emission_co2e_n2o_inen_agriculture_and_livestock:emission_co2e_n2o_inen_cement:emission_co2e_n2o_inen_chemicals:emission_co2e_n2o_inen_electronics:emission_co2e_n2o_inen_glass:emission_co2e_n2o_inen_lime_and_carbonite:emission_co2e_n2o_inen_metals:emission_co2e_n2o_inen_mining:emission_co2e_n2o_inen_other_product_manufacturing:emission_co2e_n2o_inen_paper:emission_co2e_n2o_inen_plastic:emission_co2e_n2o_inen_recycled_glass:emission_co2e_n2o_inen_recycled_metals:emission_co2e_n2o_inen_recycled_paper:emission_co2e_n2o_inen_recycled_plastic:emission_co2e_n2o_inen_recycled_rubber_and_leather:emission_co2e_n2o_inen_recycled_textiles:emission_co2e_n2o_inen_recycled_wood:emission_co2e_n2o_inen_rubber_and_leather:emission_co2e_n2o_inen_textiles,6:[1A] Actividades de quema del combustible:N2O,0.575147518,6
scoe,[1] Energía,[1A] Actividades de quema del combustible,CH4,[1A] Actividades de quema del combustible:CH4,emission_co2e_ch4_scoe_commercial_municipal:emission_co2e_ch4_scoe_other_se:emission_co2e_ch4_scoe_residential,7:[1A] Actividades de quema del combustible:CH4,0.301967018,7
scoe,[1] Energía,[1A] Actividades de quema del combustible,CO2,[1A] Actividades de quema del combustible:CO2,emission_co2e_co2_scoe_bmass_commercial_municipal:emission_co2e_co2_scoe_bmass_other_se:emission_co2e_co2_scoe_bmass_residential:emission_co2e_co2_scoe_nbmass_commercial_municipal:emission_co2e_co2_scoe_nbmass_other_se:emission_co2e_co2_scoe_nbmass_residential,8:[1A] Actividades de quema del combustible:CO2,104.7165738,8
scoe,[1] Energía,[1A] Actividades de quema del combustible,N2O,[1A] Actividades de quema del combustible:N2O,emission_co2e_n2o_scoe_commercial_municipal:emission_co2e_n2o_scoe_other_se:emission_co2e_n2o_scoe_residential,9:[1A] Actividades de quema del combustible:N2O,0.575147518,9
trns,[1] Energía,[1A] Actividades de quema del combustible,CH4,[1A] Actividades de quema del combustible:CH4,emission_co2e_ch4_trns_aviation:emission_co2e_ch4_trns_human_powered:emission_co2e_ch4_trns_powered_bikes:emission_co2e_ch4_trns_public:emission_co2e_ch4_trns_rail_freight:emission_co2e_ch4_trns_rail_passenger:emission_co2e_ch4_trns_road_heavy_freight:emission_co2e_ch4_trns_road_heavy_regional:emission_co2e_ch4_trns_road_light:emission_co2e_ch4_trns_water_borne,10:[1A] Actividades de quema del combustible:CH4,0.301967018,10
trns,[1] Energía,[1A] Actividades de quema del combustible,CO2,[1A] Actividades de quema del combustible:CO2,emission_co2e_co2_trns_aviation:emission_co2e_co2_trns_human_powered:emission_co2e_co2_trns_powered_bikes:emission_co2e_co2_trns_public:emission_co2e_co2_trns_rail_freight:emission_co2e_co2_trns_rail_passenger:emission_co2e_co2_trns_road_heavy_freight:emission_co2e_co2_trns_road_heavy_regional:emission_co2e_co2_trns_road_light:emission_co2e_co2_trns_water_borne,11:[1A] Actividades de quema del combustible:CO2,104.7165738,11
trns,[1] Energía,[1A] Actividades de quema del combustible,N2O,[1A] Actividades de quema del combustible:N2O,emission_co2e_n2o_trns_aviation:emission_co2e_n2o_trns_human_powered:emission_co2e_n2o_trns_powered_bikes:emission_co2e_n2o_trns_public:emission_co2e_n2o_trns_rail_freight:emission_co2e_n2o_trns_rail_passenger:emission_co2e_n2o_trns_road_heavy_freight:emission_co2e_n2o_trns_road_heavy_regional:emission_co2e_n2o_trns_road_light:emission_co2e_n2o_trns_water_borne,12:[1A] Actividades de quema del combustible:N2O,0.575147518,12
